"","simulation","iteration","T1N","T1S","T2N","T2S","pval","Simulation","numsig","numsig2"
"294",4,76,76,17,76,27,0.107478630863707,"4",0,0
"295",4,77,77,18,77,28,0.113063528942695,"4",0,0
"296",4,78,78,18,78,28,0.114046500808915,"4",0,0
"297",4,79,79,18,79,29,0.0818105702371461,"4",0,0
"298",4,80,80,18,80,29,0.0826188893746886,"4",0,0
"299",4,81,81,19,81,30,0.0871755150002162,"4",0,0
"300",4,82,82,20,82,30,0.126858978577639,"4",0,0
"301",4,83,83,20,83,31,0.0924982257419049,"4",0,0
"302",4,84,84,20,84,31,0.0933586658536581,"4",0,0
"303",4,85,85,21,85,31,0.134122065350175,"4",0,0
"304",4,86,86,21,86,31,0.135118223051782,"4",0,0
"305",4,87,87,21,87,31,0.136089600871518,"4",0,0
"306",4,88,88,21,88,31,0.137037093532746,"4",0,0
"307",4,89,89,22,89,31,0.189751344579977,"4",0,0
"308",4,90,90,23,90,31,0.254890857547167,"4",0,0
"309",4,91,91,23,91,31,0.256007428483266,"4",0,0
"310",4,92,92,23,92,32,0.197635677995203,"4",0,0
"311",4,93,93,23,93,32,0.198661668229613,"4",0,0
"312",4,94,94,24,94,32,0.264277176678997,"4",0,0
"313",4,95,95,24,95,32,0.26534165133105,"4",0,0
"314",4,96,96,24,96,32,0.266379923342483,"4",0,0
"315",4,97,97,25,97,33,0.272300412490649,"4",0,0
"316",4,98,98,25,98,34,0.212855308899244,"4",0,0
"317",4,99,99,25,99,34,0.213848799176649,"4",0,0
"318",4,100,100,25,100,34,0.214819387580647,"4",0,0
"319",5,1,1,0,1,1,1,"5",0,0
"320",5,2,2,0,2,1,1,"5",0,0
"321",5,3,3,0,3,2,0.386476230771233,"5",0,0
"322",5,4,4,0,4,2,0.414216178242525,"5",0,0
"323",5,5,5,0,5,2,0.429195300440349,"5",0,0
"324",5,6,6,0,6,3,0.182422439451736,"5",0,0
"325",5,7,7,1,7,4,0.264616217083589,"5",0,0
"326",5,8,8,1,8,5,0.121335250358483,"5",0,0
"327",5,9,9,1,9,6,0.0531161877224303,"5",0,0
"328",5,10,10,2,10,6,0.170903520230798,"5",0,0
"329",5,11,11,2,11,6,0.183647496958369,"5",0,0
"330",5,12,12,2,12,7,0.0916902815494297,"5",0,0
"331",5,13,13,2,13,7,0.0991629638983608,"5",0,0
"332",5,14,14,2,14,7,0.105532219102046,"5",0,0
"333",5,15,15,2,15,7,0.111017105512186,"5",0,0
"334",5,16,16,2,16,8,0.0565302771674043,"5",0,0
"335",5,17,17,2,17,8,0.0598452989566408,"5",0,0
"336",5,18,18,2,18,8,0.0628118475160988,"5",0,0
"337",5,19,19,2,19,8,0.0654793928089504,"5",0,0
"338",5,20,20,2,20,8,0.0678891548618291,"5",0,0
"339",5,21,21,2,21,9,0.0352294889253953,"5",1,1
"340",6,1,1,0,1,0,1,"6",0,0
"341",6,2,2,0,2,0,1,"6",0,0
"342",6,3,3,0,3,0,1,"6",0,0
"343",6,4,4,1,4,0,1,"6",0,0
